id,tweet,emotion
2337,i'm doing laundry and watching that 70's show with a bunch of strangers. #happy #birthday #to #me,joy
3200,Don't be so shy #nl,fear
4421,@snowangel415 @cjwalters66 Maybe also being attacked by Tom's rabid fans to whom he &amp; his clothes were always perfect also put me off him...,anger
5615,@mcraddictal okay,neutral
5249,@Hatz94 i'm sorry  do you have a mac? you should get oneee,neutral
2057,@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though,joy
1059,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sadness
2699,"Next month we'll be running overcoming #lowmood, overcoming #worry and improving #wellbeing courses in #Louth. Self refer on 0303 123 4000",fear
1815,Light of day per heyday popularization backfire cinematography: XUcQb,joy
5411,"On a day like today I would wear shorts and tshirt, but now I'm at DHQ it's office wear...",neutral
72,Overwhelming sadness.  This too shall pass.  #lonley #startingover,sadness
2379,imagine if teppu got animated by madhouse tho &gt;_&lt;,joy
803,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc,sadness
5296,3am i still cant sleep,neutral
4432,2 days on.......never a fucking pen!!!! #nffc,anger
999,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control.",sadness
48,"@narcissusheiyan  maybe it'd have been different if I stayed for sixth form? But still, the oppressive architecture, uninteresting people",sadness
3081,@Burnt_Out_Darth @theaterofscifi thanks. #nightmare,fear
4305,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
4694,Taking a break from the #wedding to #rage at the general #stupidity of certain #people on the #internet.,anger
2136,Swear I got the most playful ass bf ever 😂🙄,joy
5833,@mrskutcher just checked library website and girl with dragon tattoo is checked out,neutral
3367,Super shitting it about this tattoo #nervous,fear
2357,@MoAmali @awosss @Arsenalman2011 listen I dn't subscribe to this team coq Team xhaka stuff. I like all our players. Depth has me elated,joy
558,Hate knowing I have to get up at half 5 for gym in the morning it's so depressing,sadness
5819,@ac07 LOL. Academy-ish. Haha. I really really miss O.B.,neutral
56,"When I was new, I hate the Judge Judy sponsorship style- but looking back it was the only thing that worked. #recovery #sober #cantconacon",sadness
4726,Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines,anger
3291,@kevinrouth Now that's what I call a gameface! #gameface,fear
2784,@Marissa_Frost @NevAmore_MFC awe I love you twooo!!! come adventure with me someday!,fear
1467,#Talking about our #Problems is our greatest #Addiction#Break the #habitTalk about ur #Joys#quote  #problemsolving #behappy,joy
3311,"@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS",fear
2691,#aliens #zombie #gore #slash #ghost #sith #horror I love it all. 🔪,fear
4531,"@CNNnewsroom @BrookeBCNN What can't you grasp? Besides yr cognitive dissonance, raging away. Each. Incident. Re: LEO-shooting = SEPARATE.",anger
881,"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!",sadness
4158,"Yet we still have deaths, road rage, &amp; violations on the road, despite a widely accepted concept of 'personal accountability' while driving",anger
1442,"Accept the challenges, So that you may feel the exhilaration of victory.\n\nTOMIHO IpaglabanMo TapingDay2",joy
3116,@alicemazzy he was more partisan on social issues a few years back; now he just concern trolls the center left as Chait does the far left,fear
4087,"@feistyarcher -trouble,' he feigned anger and gave her a look that told her to behave. He knew she wouldn't though, and that was one of -",anger
794,"Feminists should ask themselves, why they're so unhappy, and why they lack love in their lives. Is it b/c they are fighting a losing game?",sadness
2785,@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear
2827,Paranoia is a fear every races has,fear
1505,its been ages since ive had shawarma my stomach is #rejoicing,joy
5686,at work  closing files,neutral
1855,@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,joy
3445,I forgot #BB18 was on tonight  that is how much the real world has been distracting me #horrid ,fear
4604,I hate not having the answers I need. #tomourssuck #prayinsnotcancer,anger
1624,@readanerd cheer up chuck😘,joy
407,@FacMagnaAmerica  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,sadness
4984,@Phlupp You're phone is off,neutral
4218,@Aurena1701 @AngryOrchard he didn't sting me luckily. He just flew off happy and drunk. Lolololol,anger
136,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job 👍🏿 @GOVUK  #thanks #unhappy #crb,sadness
542,im thoroughly in love w zen and jumin and i dont think id even have the patience for either of them irl im old and weary,sadness
2770,Didn't concede yet but having a nightmare at the back #MUFC,fear
801,I can't mourn Kid Cudi cause we have Travis Scott...,sadness
2113,@reinervshunter you got this💙 #staystrong  #yourebeautiful,joy
271,@ChristianJMay @CityAM \nConfidence held up... despite constant and continual doom and gloom,sadness
1872,@OrbsOfJoy plan a date... like a date u find pleasing or smth. fuckign\n\n10/10. because the child will grow to be a ten out of ten,joy
5639,@BARACKOKITTY ur right! i dont have a reason to be up early but im sure my niece will be in my room in a few hrs botherin me,neutral
294,@DrSRSheikh: And who asked you to gate crash with your dumb idiosyncrasies when sober people are analyzing a situation!\n@BanoBee @AK_Forty7,sadness
3869,and apparently he's supposed to have a Scottish accent??? I'm #offended,anger
4150,Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
3296,I seriously miss #ahsaftershow with @trixiemattel and @TheRealEdHansen. I need to talk about the mamasitas and the hunks of horror.,fear
1602,"If you simply act out of kindness, strength, and optimism, today will be the best day ever! @Tarleton_KINE @DrKaylaPeak @jssimpson9",joy
2064,Best quote from a 7 in German - Almost #happy,joy
5630,wonders when all of these end... hay...  http://plurk.com/p/wy9wi,neutral
4236,Finally made my #fury #warrior guide. Let me know your thoughts,anger
1686,Halfway to work and I realize I forgot to put on underwear....It's going to be one of those days! #mombrain #toomuchgoingon #longday #breezy,joy
513,@TouchPH  The solution is to punish the criminals. That's the only way to discourage crime. or the circle will continue.,sadness
1101,I got a short fuse when im sober.,sadness
405,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",sadness
5603,"Just joined, no one is following me",neutral
5269,Just finished watching terminator. Other than the music nothing is great,neutral
3178,Worry makes you look at the problem and God makes you look at the promise.  #problem #promise   #faith #God #theanswer #spiritu...,fear
3007,@littlepieces Customer services got involved and eventually completely wash their hands of it.  #dreamornightmare,fear
222,"@KhaleesiofFood @BB_Updates she has stayed off the block almost all season, got out people that were good for her game, but no one seemed",sadness
749,If you #invest in my new #film I will stop asking you to invest in my new film. #concessions #crime #despair #shortsightedness #celebrities,sadness
4590,@KingNicky7 also madden isn't the funniest game to watch and if there isn't much happening it's boring,anger
5283,@geekinpink804  i can't.,neutral
2750,"@JogglingDroid @BrancoCarmine @Otto_English yeah, #UK was quite the #bully",fear
894,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,sadness
1963,Accept the challenges so that you can feel the exhilaration of victory.,joy
1041,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.,sadness
2462,@_MariaPetrova should have stopped after 'smiled'. Being rude=not the same as being funny.It was just being mean  #stoppickingonwomen,fear
538,@TheSGJournal Step 1: Get rid of @LittleStokePark Step 2: Prioritise football Step 3: profit? #depressing,sadness
3496,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.,fear
1297,Modern family never fails to cheer me up. Especially Phil.,joy
2034,@Author_LB Awesome. My 9 yr old grandson runs cross country. No Simon Whitfield but still a lot of fun cheering him on.,joy
3316,Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga ❤️,fear
897,Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :( #unhappy #depression #itnevergoes,sadness
